Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Adj Factor
1980-01-02,15.057360649,15.415869713,14.937858582,14.937858582,0.965844507,"1,723,808",0.00,0.00,0.064657494
1980-01-03,14.937858582,15.176863670,14.639101028,15.176863670,0.981297977,"2,553,495",0.00,0.00,0.064657494
1980-01-04,15.176863670,15.236616135,15.057360649,15.146988869,0.979366347,"1,978,195",0.00,0.00,0.064657494
1980-01-07,15.146988869,15.146988869,14.967734337,15.087237358,0.975502964,"1,480,718",0.00,0.00,0.064657494
1980-01-08,15.087237358,16.132886887,14.967734337,16.103010178,1.041180290,"2,968,130",0.00,0.00,0.064657494
1980-01-09,16.103010178,16.252389908,15.625000000,15.625000000,1.010273349,"3,380,672",0.00,0.00,0.064657494
1980-01-10,15.774378777,16.192638397,15.774378777,16.132886887,1.043112043,"2,219,194",0.00,0.00,0.064657494
1980-01-11,16.132886887,16.312141418,15.684750557,16.013383865,1.035385277,"2,280,280",0.00,0.00,0.064657494
1980-01-14,16.013383865,16.073135376,15.834130287,15.983509064,1.033453647,"1,663,977",0.00,0.00,0.064657494
1980-01-15,15.983509064,16.790153503,15.893880844,16.760276794,1.083677502,"3,922,500",0.00,0.00,0.064657494
1980-01-16,16.760276794,16.939531326,16.670650482,16.730401993,1.081745872,"6,284,368",0.00,0.00,0.064657494
1980-01-17,16.730401993,16.820028305,16.551147461,16.551147461,1.070155724,"2,564,792",0.00,0.00,0.064657494
1980-01-18,16.551147461,16.670650482,16.401769638,16.640773773,1.075950736,"2,732,570",0.00,0.00,0.064657494
1980-01-21,16.640773773,16.700525284,16.491395950,16.491395950,1.066292341,"1,557,285",0.00,0.00,0.064657494
1980-01-22,16.491395950,16.700525284,16.491395950,16.491395950,1.066292341,"1,766,066",0.00,0.00,0.064657494
1980-01-23,16.491395950,17.029159546,16.491395950,17.029159546,1.101062787,"2,218,357",0.00,0.00,0.064657494
1980-01-24,17.029159546,17.088909149,16.760276794,16.879779816,1.091404268,"2,291,158",0.00,0.00,0.064657494
1980-01-25,16.879779816,16.909656525,16.700525284,16.760276794,1.083677502,"1,405,406",0.00,0.00,0.064657494
1980-01-28,16.760276794,17.208412170,16.760276794,16.969406128,1.097199281,"1,522,976",0.00,0.00,0.064657494
1980-01-29,16.969406128,17.059034348,16.581022263,16.820028305,1.087540885,"1,496,617",0.00,0.00,0.064657494
1980-01-30,16.820028305,16.879779816,16.640773773,16.820028305,1.087540885,"1,452,266",0.00,0.00,0.064657494
1980-01-31,16.820028305,16.999282837,16.312141418,16.401769638,1.060497328,"2,451,824",0.00,0.00,0.064657494
1980-02-01,16.401769638,16.610898972,16.342016220,16.581022263,1.072087353,"1,513,353",0.00,0.00,0.064657494
1980-02-04,16.581022263,16.640773773,16.401769638,16.521272659,1.068224094,"1,205,829",0.00,0.00,0.064657494
1980-02-05,16.521272659,16.640773773,16.431644440,16.640773773,1.075950736,"1,595,778",0.00,0.00,0.064657494
1980-02-06,16.491395950,16.491395950,16.192638397,16.342016220,1.056633822,"2,133,003",0.21,0.00,0.064657494
1980-02-07,16.312141418,16.312141418,16.043260574,16.043260574,1.050530286,"2,145,555",0.00,0.00,0.065481096
1980-02-08,16.043260574,16.162763596,15.834130287,16.073135376,1.052486521,"2,631,318",0.00,0.00,0.065481096
1980-02-11,16.073135376,16.132886887,15.893880844,15.953633308,1.044661395,"1,663,140",0.00,0.00,0.065481096
1980-02-12,15.953633308,16.461519241,15.864006042,16.461519241,1.077918322,"1,619,626",0.00,0.00,0.065481096
1980-02-13,16.551147461,16.849903107,16.551147461,16.581022263,1.085743511,"3,376,488",0.00,0.00,0.065481096
1980-02-14,16.581022263,16.790153503,16.282266617,16.282266617,1.066180664,"2,008,320",0.00,0.00,0.065481096
